id,created_at,username,text,topic,likes,retweets,date,processed_text,compound,pos,neu,neg,sentiment
1000,2025-04-20 13:00:21,user_40,Impressed by the bipartisan effort on the new infrastructure bill!,politics,42,14,2025-04-20,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1001,2025-04-14 13:00:21,user_81,The latest phone has same features but costs more. Not worth upgrading.,technology,59,16,2025-04-14,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1002,2025-04-14 13:00:21,user_91,Climate conference scheduled for next month in Geneva. #ClimateChange,climate change,45,21,2025-04-14,climate conference scheduled for next month in geneva climatechange,0.0,0.0,1.0,0.0,Neutral
1003,2025-04-13 13:00:21,user_26,New study shows mixed results on treatment effectiveness.,healthcare,187,82,2025-04-13,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1004,2025-04-21 13:00:21,user_50,So proud of youth activists fighting for climate justice!,climate change,50,23,2025-04-21,so proud of youth activists fighting for climate justice,0.6478,0.444,0.392,0.163,Positive
1005,2025-04-20 13:00:21,user_40,Scientists continue to monitor sea level changes due to climate change.,climate change,129,60,2025-04-20,scientists continue to monitor sea level changes due to climate change,0.0,0.0,1.0,0.0,Neutral
1006,2025-04-13 13:00:21,user_11,So happy with the new school curriculum focusing on critical thinking!,education,200,96,2025-04-13,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1007,2025-04-20 13:00:21,user_33,So happy with the new school curriculum focusing on critical thinking!,education,173,68,2025-04-20,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1008,2025-04-18 13:00:21,user_61,This new AI assistant is amazing! Saving me hours of work.,technology,68,15,2025-04-18,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1009,2025-04-13 13:00:21,user_11,Frustrating to see so little progress on reducing carbon emissions.,climate change,53,18,2025-04-13,frustrating to see so little progress on reducing carbon emissions,-0.0296,0.204,0.585,0.212,Neutral
1010,2025-04-21 13:00:21,user_95,Disgusted by the corruption in government. We deserve better!,politics,48,7,2025-04-21,disgusted by the corruption in government we deserve better,-0.128,0.218,0.526,0.256,Negative
1011,2025-04-16 13:00:21,user_30,Grateful for the healthcare workers during these challenging times!,healthcare,64,28,2025-04-16,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1012,2025-04-13 13:00:21,user_71,Interesting developments in quantum computing announced today.,technology,32,5,2025-04-13,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1013,2025-04-17 13:00:21,user_84,Grateful for the healthcare workers during these challenging times!,healthcare,1,0,2025-04-17,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1014,2025-04-17 13:00:21,user_7,Budget cuts to education are hurting our children's future. Unacceptable!,education,98,26,2025-04-17,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1015,2025-04-14 13:00:21,user_44,Impressed by the bipartisan effort on the new infrastructure bill!,politics,8,3,2025-04-14,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
